,,,,,,,
,,,,,,,
,,,,,,,
Project Number Name,Project Number,Project Name,Exe Proj Region,Project Description,Category,Charging,Project Status
561179: LASALLE PINK HYDROGE (1. Backlog Project),561179,LASALLE PINK HYDROGE,,,1. Backlog Project,,Active
561232: ARIZONA PROFLEX (1. Backlog Project),561232,ARIZONA PROFLEX,,,1. Backlog Project,,Active
561252: Ras Laffan(1. Backlog Project),561252,Ras Laffan,VEPS/EUR,,1. Backlog Project,PS Proj,Active
5618621: 373-Denimach 6MLD MB (1. Backlog Project),5618621,373-Denimach 6MLD MB,INDIA,,1. Backlog Project,,Active
562231: MISC-562231 ATLAS RE (1. Backlog Project),562231,MISC-562231 ATLAS RE,VEPS,,1. Backlog Project,,Active
562494: GRIFOLS TDS PROJECT (2. ITO),562494,GRIFOLS TDS PROJECT,NAM,,2. ITO,ITO,Active
562765: YARA FERTILIZERS IND (2. ITO),562765,YARA FERTILIZERS INDIA PVT.LTD (YFIPL),EA/ANZ/ROW,ITO,2. ITO,ITO,Active
562829: KENT TOTAL (1. Backlog Project),562829,KENT TOTAL,,,1. Backlog Project,,Active
562956: SAUDI SERVICE DEAL (1. Backlog Project),562956,SAUDI SERVICE DEAL,,,1. Backlog Project,,Active
565449: KIEWIT SUNGAS YELLOW (1. Backlog Project),565449,KIEWIT SUNGAS YELLOW,,,1. Backlog Project,,Active
565585: Edenderry Demin Wate (1. Backlog Project),565585,Edenderry Demin Water System,EU CIS,,1. Backlog Project,,Active
566953: BEL LONS MBR   REU (1. Backlog Project),566953,BEL LONS MBR   REU,,,1. Backlog Project,,Active
567379: SAFETREAT_LODHA_3 1M (1. Backlog Project),567379,SAFETREAT_LODHA_3 1M,,,1. Backlog Project,,Active
568163: St Johns Parish - Accelators(2. ITO),568163,St Johns Parish - Accelators,NAM,,2. ITO,ITO,Active
568403: EDEN VALLY WTP(2. ITO),568403,EDEN VALLY WTP,NAM,"P&ID, GA AND Layout Drafting",2. ITO,ITO,Active
56882: TSA Dehydration Package L&T - Saudi Aramco(ITO)(2. ITO),56882,TSA Dehydration Package L&T - Saudi Aramco(ITO),VEPS,,2. ITO,ITO,Active
568825: TSA Dehydration (Molecular Sieve) -Saudi Aramco(2. ITO),568825,TSA Dehydration (Molecular Sieve) -Saudi Aramco,VEPS,,2. ITO,ITO,Active
568989: AWC- IPC BLACKROD (1. Backlog Project),568989,AWC- IPC BLACKROD,,,1. Backlog Project,,Active
569101: City of Denton MBR(2. ITO),569101,City of Denton MBR,NAM,,2. ITO,ITO,Active
569389: TEXAS CITY 2 (1. Backlog Project),569389,TEXAS CITY 2,,,1. Backlog Project,,Active
569707: GRAND CANYON SOUTH R (1. Backlog Project),569707,GRAND CANYON SOUTH R,,,1. Backlog Project,,Active
569734: AP MASSENA - WASTEWA (1. Backlog Project),569734,AP MASSENA - WASTEWA,,,1. Backlog Project,,Active
569898: WORLD ENERGY (1. Backlog Project),569898,WORLD ENERGY,,,1. Backlog Project,,Active
5699714: 373-Paradise washing (1. Backlog Project),5699714,373-Paradise washing,INDIA,,1. Backlog Project,,Active
570805: WATER TECHTONICS-MOL (1. Backlog Project),570805,WATER TECHTONICS-MOL,,,1. Backlog Project,,Active
5709077: 373-ETAFIL ACCESSORI (1. Backlog Project),5709077,373-ETAFIL ACCESSORI,INDIA,,1. Backlog Project,,Active
570922: Shediac WTP - Mangazur Expansion(2. ITO),570922,Shediac WTP - Mangazur Expansion,NAM,,2. ITO,ITO,Active
"571128: Cookville, Nova Scot (5. Pipeline Project)",571128,"Cookville, Nova Scotia",NAM,"571128 - Cookville, Nova Scotia",5. Pipeline Project,PS Proj,Active
571171: RB MYSORE_APEX ECOTE (1. Backlog Project),571171,RB MYSORE_APEX ECOTE,,,1. Backlog Project,,Active
"572243: Central Peace Regional, AB - WTP(2. ITO)",572243,"Central Peace Regional, AB - WTP",NAM,,2. ITO,ITO,Active
572316: SEEN TECHNOLOGIE (1. Backlog Project),572316,SEEN TECHNOLOGIE,,,1. Backlog Project,,Active
572834: MISC-572834 RVD CARB (1. Backlog Project),572834,MISC-572834 RVD CARB,VEPS,,1. Backlog Project,,Active
572903: WUNDERLICH CROSSTEK (1. Backlog Project),572903,WUNDERLICH CROSSTEK,,,1. Backlog Project,,Active
573180: CIDCO 20MLD TTP (1. Backlog Project),573180,CIDCO 20MLD TTP,,,1. Backlog Project,,Active
574609: FAIRLIFE WATER TREAT (1. Backlog Project),574609,FAIRLIFE WATER TREAT,,,1. Backlog Project,,Active
575717: CALPINE CARBON CAPTURE(2. ITO),575717,CALPINE CARBON CAPTURE,NAM,PFD CREATION,2. ITO,ITO,Active
575718: Calpine CC Demin Package(2. ITO),575718,Calpine CC Demin Package,NAM,To Prepare Engineering Deliverables,2. ITO,ITO,Active
575897: PACE SOLUTIONS (PROF (1. Backlog Project),575897,PACE SOLUTIONS (PROF,,,1. Backlog Project,,Active
5762078: 373-480 KLD_NDE-Proj (1. Backlog Project),5762078,373-480 KLD_NDE-Proj,INDIA,,1. Backlog Project,,Active
576289: Scotia CF1 Compressi (1. Backlog Project),576289,Scotia CF1 Compression upgrade,VEPS,TEG DEHYDRATION PACKAGE TRAIN #2,1. Backlog Project,PS Proj,Active
5764271: 373-Evince Textiles_ (1. Backlog Project),5764271,373-Evince Textiles_,INDIA,,1. Backlog Project,,Active
576607: Pembina Valley Water Cooperative(2. ITO),576607,Pembina Valley Water Cooperative,NAM,,2. ITO,ITO,Active
576729: Coromendal (2. ITO),576729,Coromendal,EA/ANZ/ROW,ITO,2. ITO,ITO,Active
576775: Lubrizon WWTP (2. ITO),576775,Lubrizon WWTP,EA/ANZ/ROW,ITO,2. ITO,ITO,Active
577091: TK(2. ITO),577091,TK,ANZ,TK PROJECT P&ID SUPPORT - ITO,2. ITO,ITO,Active
577092: WAIKATO MABR MBR NGAARUAWAAHIA(2. ITO),577092,WAIKATO MABR MBR NGAARUAWAAHIA,ANZ,WWTP,2. ITO,ITO,Active
5774086: 373-Ring Shine_12 ML (1. Backlog Project),5774086,373-Ring Shine_12 ML,INDIA,,1. Backlog Project,,Active
577455: 1.6 MLD RO   0.6 ML (1. Backlog Project),577455,1.6 MLD RO   0.6 ML,,,1. Backlog Project,,Active
577521: CALPINE CARBON CAPUTERE CONDENSATE POLISHING(2. ITO),577521,CALPINE CARBON CAPUTERE CONDENSATE POLISHING,NAM,PFD,2. ITO,ITO,Active
577700: BAMBOO BIOPRODUCTS (1. Backlog Project),577700,BAMBOO BIOPRODUCTS,,,1. Backlog Project,,Active
5781375: 373-Simba Fashions_1 (1. Backlog Project),5781375,373-Simba Fashions_1,INDIA,,1. Backlog Project,,Active
578168: IFF Pryor Chlorate Removal Ingredient Water System(2. ITO),578168,IFF Pryor Chlorate Removal Ingredient Water System,NAM,,2. ITO,ITO,Active
579379: WATER TECHTONICS-MOL (1. Backlog Project),579379,WATER TECHTONICS-MOL,,,1. Backlog Project,,Active
580315: Nestle Moga-Phase-3 (2. ITO),580315,Nestle Moga-Phase-3,SA,,2. ITO,,Active
5808757: 373-Wipro_Sarjapur K (1. Backlog Project),5808757,373-Wipro_Sarjapur K,INDIA,,1. Backlog Project,,Active
581316: MARK ANTHONY BREWING (1. Backlog Project),581316,MARK ANTHONY BREWING,,,1. Backlog Project,,Active
5818046: 373-3.6MLDETP_Blue P (1. Backlog Project),5818046,373-3.6MLDETP_Blue P,INDIA,,1. Backlog Project,,Active
582021: Tampa Bay Water II. FL (TF)(1. Backlog Project),582021,Tampa Bay Water II. FL (TF),NAM,,1. Backlog Project,PS Proj,Active
582772: PORT DEPOSIT PHASE-2 EXPANSION(2. ITO),582772,PORT DEPOSIT PHASE-2 EXPANSION,NAM,,2. ITO,ITO,Active
583009: WATER TREATMENT PLAN (1. Backlog Project),583009,WATER TREATMENT PLAN,,,1. Backlog Project,,Active
583127: Frederick Water WTP RO(2. ITO),583127,Frederick Water WTP RO,NAM,,2. ITO,ITO,Active
583221: JSL-Coke oven Efflue (2. ITO),583221,JSL-Coke oven Effluent treatment,EA/ANZ/ROW,ITO,2. ITO,ITO,Active
"583647: NET POWER MIDLAND, T (2. ITO)",583647,"NET POWER MIDLAND, TEXAS",NAM,Piping & Instrumentation Diagrams,2. ITO,ITO,Active
583669: GYPSUM  CO MBR (1. Backlog Project),583669,GYPSUM  CO MBR,,,1. Backlog Project,,Active
583860: RRB-WADDELL WASTEWATER REUSE SYSTEM(2. ITO),583860,RRB-WADDELL WASTEWATER REUSE SYSTEM,NAM,PIPING & INSTRUMENTATION DIAGRAMS,2. ITO,ITO,Active
5841684: 373-Pretty Group_9.6 (1. Backlog Project),5841684,373-Pretty Group_9.6,INDIA,,1. Backlog Project,,Active
584446: Matamata Wastewater  (4. Regional prgm),584446,Matamata Wastewater Treatment Plant Upgrade,MEA/EA/ANZ/ROW,,4. Regional prgm,Prgm,Active
584737: MISCANCELL - UF-BPED (1. Backlog Project),584737,MISCANCELL - UF-BPED,,,1. Backlog Project,,Active
585449: Melbourne Water ANMB (2. ITO),585449,Melbourne Water ANMBR WWTP,EA/ANZ/ROW,ITO PROPOSAL SUPPORT,2. ITO,ITO,Active
585919: VWT TURKEY PEPSICO T (1. Backlog Project),585919,VWT TURKEY PEPSICO T,,,1. Backlog Project,,Active
586477: US SWIMMING RIVER WT (1. Backlog Project),586477,US SWIMMING RIVER WT,,,1. Backlog Project,,Active
586568: JSL-CRM HSM effluent (2. ITO),586568,JSL-CRM HSM effluent treatment,EA/ANZ/ROW,ITO,2. ITO,ITO,Active
587464: Cairn Mangala Cluste (1. Backlog Project),587464,Cairn Mangala Cluster C ASP Flood (TF),VEPS/EMEA,Detail Engineering for CAIRN MANGALA project,1. Backlog Project,PS Proj,Active
587924: Ipswich WTP DAF(2. ITO),587924,Ipswich WTP DAF,NAM,,2. ITO,ITO,Active
588021: TEXAS INSTRUMENTS SH (1. Backlog Project),588021,TEXAS INSTRUMENTS SH,,,1. Backlog Project,,Active
588124: PATTERSON WRF EXPANS (1. Backlog Project),588124,PATTERSON WRF EXPANS,,,1. Backlog Project,,Active
5881593: 373-Ferro_Nubiola_In (1. Backlog Project),5881593,373-Ferro_Nubiola_In,INDIA,,1. Backlog Project,,Active
588241: EDI Iraq System 100m3/hr(1. Backlog Project),588241,EDI Iraq System 100m3/hr,VEPS,New project,1. Backlog Project,PS Proj,Active
589468: MISC-589468 CAIRN MA (1. Backlog Project),589468,MISC-589468 CAIRN MA,VEPS,,1. Backlog Project,,Active
589925: Coca-Cola Wilsonvill (2. ITO),589925,Coca-Cola Wilsonville New RO,NAM,,2. ITO,ITO,Active
5904331: 373-Adani_Wilmar_Mun (1. Backlog Project),5904331,373-Adani_Wilmar_Mun,INDIA,,1. Backlog Project,,Active
590480: MOONLIGHT BASIN - WW (1. Backlog Project),590480,MOONLIGHT BASIN - WW,,,1. Backlog Project,,Active
590803: Huntly MBR MABR (2. ITO),590803,Huntly MBR MABR ,EA/ANZ/ROW,ITO support on P&ID construction,2. ITO,ITO,Active
591484: BAYFRONT (2. ITO),591484,BAYFRONT,NAM,PID-RED MARKUP,2. ITO,ITO,Active
591640: Hindustan Zinc Ltd (2. ITO),591640,Hindustan Zinc Ltd,SA,,2. ITO,,Active
5921627: 373-Oberoi_920 KLD_O (1. Backlog Project),5921627,373-Oberoi_920 KLD_O,INDIA,,1. Backlog Project,,Active
592206: LAS AMÉRICAS (2. ITO),592206,LAS AMÉRICAS,EU CIS,,2. ITO,,Active
"592280: Dominion Water & Sanitation MBR, Colorado(2. ITO)",592280,"Dominion Water & Sanitation MBR, Colorado",NAM,,2. ITO,ITO,Active
5924699: 373-Oberoi_850 KLD_b (1. Backlog Project),5924699,373-Oberoi_850 KLD_b,INDIA,,1. Backlog Project,,Active
5924702: 373-Oberoi_860 KLD_b (1. Backlog Project),5924702,373-Oberoi_860 KLD_b,INDIA,,1. Backlog Project,,Active
5924708: 373-Oberoi_575 KLD_B (1. Backlog Project),5924708,373-Oberoi_575 KLD_B,INDIA,,1. Backlog Project,,Active
5925734: OBEROI_MULUND_ENIGMA (1. Backlog Project),5925734,OBEROI_MULUND_ENIGMA,,,1. Backlog Project,,Active
5925745: 373-Oberoi_1050 KLD_ (1. Backlog Project),5925745,373-Oberoi_1050 KLD_,INDIA,,1. Backlog Project,,Active
592642: Karumba MBR replacem (2. ITO),592642,Karumba MBR replacement,EA/ANZ/ROW,GA and PID development,2. ITO,ITO,Active
592695: 12 MLD DESALINATION  (1. Backlog Project),592695,12 MLD DESALINATION PLANT- AMAALA-,MEA/EA/ANZ/ROW,CREATE A IOM MANUAL,1. Backlog Project,PS Proj,Active
592792: VWT - CRNF - PHASE 1 (1. Backlog Project),592792,VWT - CRNF - PHASE 1,,,1. Backlog Project,,Active
593167: REGANOSA LUBMIN H2 P (2. ITO),593167,REGANOSA LUBMIN H2 PLANT,EUR,,2. ITO,ITO,Active
5934428: C. EMERY NELSON INC. (1. Backlog Project),5934428,C. EMERY NELSON INC.,,,1. Backlog Project,,Active
593684: LEWISBURG WTP  TN (1. Backlog Project),593684,LEWISBURG WTP  TN,,,1. Backlog Project,,Active
593763: Emek Ha Ela  WWTP(1. Backlog Project),593763,Emek Ha Ela  WWTP,EU CIS,PID support,1. Backlog Project,PS Proj,Active
5938582: 373-Argon_Denims _96 (1. Backlog Project),5938582,373-Argon_Denims _96,INDIA,,1. Backlog Project,,Active
594092: CHEVRON PASADENA REF (1. Backlog Project),594092,CHEVRON PASADENA REF,,,1. Backlog Project,,Active
594343: Shell AMG (2. ITO),594343,Shell AMG,MEA/EA/ANZ/ROW,Specification Review for Structural Steel ,2. ITO,ITO,Active
594620: Caima MBR/LRU (2. ITO),594620,Caima MBR/LRU,EUR,ITO,2. ITO,ITO,Active
5949173: MISC 5949173 NUOVO P (1. Backlog Project),5949173,MISC 5949173 NUOVO P,MEA,,1. Backlog Project,,Active
"594938: Project West Soda Ash Mine, WY Raw Water Demin(2. ITO)",594938,"Project West Soda Ash Mine, WY Raw Water Demin",NAM,,2. ITO,ITO,Active
594959: ROYSTON  GA (TERTIAR (1. Backlog Project),594959,ROYSTON  GA (TERTIAR,,,1. Backlog Project,,Active
595151: AC NEU UKI DIODES ED (1. Backlog Project),595151,AC NEU UKI DIODES ED,,,1. Backlog Project,,Active
5951632: 373-Nice_Cotton_6MLD (1. Backlog Project),5951632,373-Nice_Cotton_6MLD,INDIA,,1. Backlog Project,,Active
596096: (A5545G) P84    DEAE (1. Backlog Project),596096,(A5545G) P84    DEAE,,,1. Backlog Project,,Active
596689: SAMSUNG TPPI DESAL (1. Backlog Project),596689,SAMSUNG TPPI DESAL,,,1. Backlog Project,,Active
596815: AMBERCYCLE (1. Backlog Project),596815,AMBERCYCLE,,,1. Backlog Project,,Active
597940: AEKYUNG INDUSTRY - B (1. Backlog Project),597940,AEKYUNG INDUSTRY - B,,,1. Backlog Project,,Active
598468: HAL CAIRN ASP FLOOD  (1. Backlog Project),598468,HAL CAIRN ASP FLOOD - MANGALA CLUSTER C,VEPS,,1. Backlog Project,,Active
598657: TABOR RANCH MUD - AQ (1. Backlog Project),598657,TABOR RANCH MUD - AQ,,,1. Backlog Project,,Active
599832: NEW RO DESALINATION  (2. ITO),599832,NEW RO DESALINATION UNITS _SIRTE OIL,MEA,,2. ITO,,Active
599902: ST. CUTHBERT(2. ITO),599902,ST. CUTHBERT,NAM,,2. ITO,ITO,Active
600006: County of Worcester- Riddle Farms(1. Backlog Project),600006,County of Worcester- Riddle Farms,ES Services,,1. Backlog Project,Prgm,Active
600006-E01 TO E08: RIDDLE FARMS(10.Services),600006-E01 TO E08,RIDDLE FARMS,NAM,,10.Services,PS Proj,Active
600115: S B ENTERPRISE EHT R (1. Backlog Project),600115,S B ENTERPRISE EHT R,,,1. Backlog Project,,Active
600527: RILCAUSTIC CONCENTRA (1. Backlog Project),600527,RILCAUSTIC CONCENTRA,,,1. Backlog Project,,Active
600731: AMNS Desalination Pl (2. ITO),600731,AMNS Desalination Plant,INDIA,PID - Markup and PID Preparation,2. ITO,ITO,Active
600920: EDR For Mutuitjulu (2. ITO),600920,EDR For Mutuitjulu,EA/ANZ/ROW,Drawing to be incorporated,2. ITO,ITO,Active
601810: KHURAIS Feed Study (2. ITO),601810,KHURAIS Feed Study,MEA,,2. ITO,,Active
601814-ADNOC 4 MLD: 2 MLD DESALINATION P (2. ITO),601814-ADNOC 4 MLD,2 MLD DESALINATION PLANT,MEA/EA/ANZ/ROW,Electrical & Instrumentation MTO ;Service project (ADNOC).,2. ITO,ITO,Active
601943: HF SINCLAIR CASPER   (1. Backlog Project),601943,HF SINCLAIR CASPER  ,,,1. Backlog Project,,Active
602106: COQUITLAM  BC - WTP  (1. Backlog Project),602106,COQUITLAM  BC - WTP ,,,1. Backlog Project,,Active
6023401: 373-SMC Infra_RCF_MB (1. Backlog Project),6023401,373-SMC Infra_RCF_MB,INDIA,,1. Backlog Project,,Active
602705: WASIT (2. ITO),602705,WASIT,MEA/EA/ANZ/ROW,,2. ITO,ITO,Active
602830: TACHI YOKUT TRIBE WA (1. Backlog Project),602830,TACHI YOKUT TRIBE WA,,,1. Backlog Project,,Active
602963: HAWAR DESALINATION P (1. Backlog Project),602963,HAWAR DESALINATION P,,,1. Backlog Project,,Active
603103: SOLVAY   SYENSQO - S (1. Backlog Project),603103,SOLVAY   SYENSQO - S,,,1. Backlog Project,,Active
603176: DUKE - PERSON COUNTY (1. Backlog Project),603176,DUKE - PERSON COUNTY,,,1. Backlog Project,,Active
603544: ASTRAZENEC WWTP(2. ITO),603544,ASTRAZENEC WWTP,SEA,PID & Layout support ,2. ITO,ITO,Active
603634: 	NAVFAC Portsmouth S (2. ITO),603634,	NAVFAC Portsmouth Shipyard - UF + RO,NAM,Please update the P&ID set per the Redlines and comments on the respective pages,2. ITO,ITO,Active
6038727: 373_IIT Hyderabad_65 (1. Backlog Project),6038727,373_IIT Hyderabad_65,INDIA,,1. Backlog Project,,Active
"603907: High River Aldersyde, Alberta MBR(2. ITO)",603907,"High River Aldersyde, Alberta MBR",NAM,,2. ITO,ITO,Active
603992: SANOFI SARPI(1. Backlog Project),603992,SANOFI SARPI,VEPS/EMEA,,1. Backlog Project,Product,Active
604053: TETRA TECH (1. Backlog Project),604053,TETRA TECH,,,1. Backlog Project,,Active
604060: FALKENBERG (1. Backlog Project),604060,FALKENBERG,,,1. Backlog Project,,Active
604608: 2x660 MW Khurja Supe (2. ITO),604608,2x660 MW Khurja Super CPU plant,SA,,2. ITO,,Active
605025: SANTA CRUZ WTP (GREE (1. Backlog Project),605025,SANTA CRUZ WTP (GREE,,,1. Backlog Project,,Active
605077: Grew Energy Private  (2. ITO),605077,Grew Energy Private Limited,SA,,2. ITO,,Active
605766: M2 - NEW WATER LIMIT (1. Backlog Project),605766,M2 - NEW WATER LIMIT,,,1. Backlog Project,,Active
60593340: Pr.Ord. 60593340-Op. (1. Backlog Project),60593340,Pr.Ord. 60593340-Op.,NAM,,1. Backlog Project,,Active
60594571: 2900000PZ-SA-27 ~ASS (1. Backlog Project),60594571,2900000PZ-SA-27 ~ASS,NAM,,1. Backlog Project,,Active
60598926: Pr.Ord. 60598926-Op. (1. Backlog Project),60598926,Pr.Ord. 60598926-Op.,NAM,,1. Backlog Project,,Active
60601162: Pr.Ord. 60601162-Op. (1. Backlog Project),60601162,Pr.Ord. 60601162-Op.,NAM,,1. Backlog Project,,Active
"60601519: 6272701A ~EDI,ECELL3 (1. Backlog Project)",60601519,"6272701A ~EDI,ECELL3",NAM,,1. Backlog Project,,Active
606019: QAPCO (2. ITO),606019,QAPCO,MEA/EA/ANZ/ROW,Proposal P&ID Support,2. ITO,ITO,Active
60604133: Pr.Ord. 60604133-Op. (1. Backlog Project),60604133,Pr.Ord. 60604133-Op.,NAM,,1. Backlog Project,,Active
606064: PRITCHARD WWTP (1. Backlog Project),606064,PRITCHARD WWTP,,,1. Backlog Project,,Active
606088: WOOD - NEW MEXICO DE (1. Backlog Project),606088,WOOD - NEW MEXICO DE,,,1. Backlog Project,,Active
60608972: Pr.Ord. 60608972-Op. (1. Backlog Project),60608972,Pr.Ord. 60608972-Op.,NAM,,1. Backlog Project,,Active
60630622: Pr.Ord. 60630622-Op. (1. Backlog Project),60630622,Pr.Ord. 60630622-Op.,NAM,,1. Backlog Project,,Active
606659: Bacardi Jacksonville FL RO Proposal(2. ITO),606659,Bacardi Jacksonville FL RO Proposal,NAM,LAYOUT,2. ITO,ITO,Active
607116: Samsung MABR+MBR Pil (2. ITO),607116,Samsung MABR+MBR Pilot,KTJ,,2. ITO,,Active
607272: DEUCE SHELTON TITAN(3. Product),607272,DEUCE SHELTON TITAN,NAM,,3. Product,Product,Active
607369: TESS (2. ITO),607369,TESS,EA/ANZ/ROW,ITO,2. ITO,ITO,Active
6074033: 373-Phillips_Carbon_ (1. Backlog Project),6074033,373-Phillips_Carbon_,INDIA,,1. Backlog Project,,Active
6074150: 373-VA Tech Wabag_Da (1. Backlog Project),6074150,373-VA Tech Wabag_Da,INDIA,,1. Backlog Project,,Active
607614: Labscale ED Pilot (3. Product),607614,Labscale ED Pilot,EUR,,3. Product,Product,Active
607652: RIO GRANDE - LITICA  (1. Backlog Project),607652,RIO GRANDE - LITICA ,,,1. Backlog Project,,Active
607700: COKE AUBURNDALE ADDI (1. Backlog Project),607700,COKE AUBURNDALE ADDI,,,1. Backlog Project,,Active
607789: WWTP FOR AESC NEW LI (1. Backlog Project),607789,WWTP FOR AESC NEW LI,,,1. Backlog Project,,Active
607837: LILAC SOLUTIONS - GR (1. Backlog Project),607837,LILAC SOLUTIONS - GR,,,1. Backlog Project,,Active
608156: INTERNATIONAL REFRES (2. ITO),608156,INTERNATIONAL REFRESHMENT (IND.) PVT.LTD.,INDIA,"INTERNATIONAL REFRESHMENT (IND.) PVT.LTD. (Coca Cola)
SANAND-GUJARAT.
330KLD WTP, 228KLD ETP-ZLD PLANT & 40KLD STP",2. ITO,ITO,Active
60878769: Pr.Ord. 60878769-Op. (1. Backlog Project),60878769,Pr.Ord. 60878769-Op.,NAM,,1. Backlog Project,,Active
608844: TOTALENRGIES CONGO D (2. ITO),608844,TOTALENRGIES CONGO DJENO,VEPS,,2. ITO,ITO,Active
609249: DESIGN  SUPPLY  INST (1. Backlog Project),609249,DESIGN  SUPPLY  INST,,,1. Backlog Project,,Active
609361: VWTS Sanofi Aramon(1. Backlog Project),609361,VWTS Sanofi Aramon,EUR,PID support,1. Backlog Project,ITO,Active
609473: Maaden Aluminium UF  (2. ITO),609473,Maaden Aluminium UF & RO,MEA/EA/ANZ/ROW,,2. ITO,,Active
609890: US   WESLACO  TX   U (1. Backlog Project),609890,US   WESLACO  TX   U,,,1. Backlog Project,,Active
610388: DG Fuels FEED Level  (2. ITO),610388,DG Fuels FEED Level Engg Services - B&V (TF),NAM,Feed Level Engineering Services for Water & Waste Water Treatment,2. ITO,ITO,Active
610487: MUNICIPAL REUSE FOR  (2. ITO),610487,MUNICIPAL REUSE FOR K-WATER,KTJ,,2. ITO,,Active
610542: TOLEDO REFINERY DEMI (1. Backlog Project),610542,TOLEDO REFINERY DEMI,,,1. Backlog Project,,Active
610561: P&G Hungary WaRP extension (TF)(1. Backlog Project),610561,P&G Hungary WaRP extension (TF),EUR,,1. Backlog Project,Prod(Proj),Active
610984: US   YANKTON  SD  UV (1. Backlog Project),610984,US   YANKTON  SD  UV,,,1. Backlog Project,,Active
611208: Wilton MBR(1. Backlog Project),611208,Wilton MBR,EA/ANZ/ROW,Wilton MBR,1. Backlog Project,PS Proj,Active
6112429: 373-OBEROI WORLI TOW (1. Backlog Project),6112429,373-OBEROI WORLI TOW,INDIA,,1. Backlog Project,,Active
6112433: 373-OBEROI WORLI TOW (1. Backlog Project),6112433,373-OBEROI WORLI TOW,INDIA,,1. Backlog Project,,Active
611527: Project Waterfall(2. ITO),611527,Project Waterfall,NAM,,2. ITO,ITO,Active
611547: AWL KP Nellore 600KLD(2. ITO),611547,AWL KP Nellore 600KLD,INDIA,BOP calculation and changes as compared to older executed plant ,2. ITO,ITO,Active
611894:  SICOS Caudry - REUS (2. ITO),611894, SICOS Caudry - REUSE Rain water,EUR,611894 - Project -EP+ - NFR - SICOS Caudry - REUSE Rain water,2. ITO,ITO,Active
6121422: 373-Safe_Treat_2050K (1. Backlog Project),6121422,373-Safe_Treat_2050K,INDIA,,1. Backlog Project,,Active
6124181: 373-BAT_BOP_60KLD_ST (1. Backlog Project),6124181,373-BAT_BOP_60KLD_ST,INDIA,,1. Backlog Project,,Active
612736: GHANA ACCRA AEROPORT (2. ITO),612736,GHANA ACCRA AEROPORT WWTP,MEA/EA/ANZ/ROW,,2. ITO,,Active
612858: CENTRAL WWTP GRAND S (1. Backlog Project),612858,CENTRAL WWTP GRAND S,,,1. Backlog Project,,Active
613019: Emerald Project Blue Ammonia - Water Treatment(2. ITO),613019,Emerald Project Blue Ammonia - Water Treatment,NAM,,2. ITO,ITO,Active
613648: INGREDION - INDIANAP (1. Backlog Project),613648,INGREDION - INDIANAP,,,1. Backlog Project,,Active
613662: MICRON B81 UPW_IWN_I (1. Backlog Project),613662,MICRON B81 UPW_IWN_I,,,1. Backlog Project,,Active
6136797: 373-Wipro_Water_Pune (1. Backlog Project),6136797,373-Wipro_Water_Pune,INDIA,,1. Backlog Project,,Active
614274: AGRISTO MASA PVT LTD (2. ITO),614274,AGRISTO MASA PVT LTD,INDIA,SITE STUDY FOR PROPOSAL,2. ITO,ITO,Active
6143370: 373-Pacific_Cotton_3 (1. Backlog Project),6143370,373-Pacific_Cotton_3,INDIA,,1. Backlog Project,,Active
"6149888-6149889: CITY OF TOLLESON, ARIZONA, WELL NO 8(1. Backlog Project)",6149888-6149889,"CITY OF TOLLESON, ARIZONA, WELL NO 8",NAM,AS BUILT,1. Backlog Project,PS Proj,Active
"6150049: CITY OF TOLLESON, ARIZONA, WELL 8(1. Backlog Project)",6150049,"CITY OF TOLLESON, ARIZONA, WELL 8",NAM,,1. Backlog Project,PS Proj,Active
615048: DENTON CREEK RWS ZEE (1. Backlog Project),615048,DENTON CREEK RWS ZEE,,,1. Backlog Project,,Active
61531: PDH PP (2. ITO),61531,PDH PP,MEA/EA/ANZ/ROW,LAYOUT,2. ITO,ITO,Active
6154761: MISC-6154761-QATAR P (1. Backlog Project),6154761,MISC-6154761-QATAR P,INDIA,,1. Backlog Project,,Active
615480: Tata Steel Tin plate (2. ITO),615480,Tata Steel Tin plate,INDIA,Piping & Valve costing,2. ITO,ITO,Active
615527: PROJECT WATERFALL (1. Backlog Project),615527,PROJECT WATERFALL,,,1. Backlog Project,,Active
615872: ARCADIA RO SYSTEM (1. Backlog Project),615872,ARCADIA RO SYSTEM,,,1. Backlog Project,,Active
6168178: 373-Four H_Dyeing_6M (1. Backlog Project),6168178,373-Four H_Dyeing_6M,INDIA,,1. Backlog Project,,Active
616991: Indorama RWT/Demin(2. ITO),616991,Indorama RWT/Demin,NAM,,2. ITO,ITO,Active
617108: Micron Reclaim water (2. ITO),617108,Micron Reclaim water treatment,EA/ANZ/ROW,ITO,2. ITO,ITO,Active
617372: GRAPHITE ONE (1. Backlog Project),617372,GRAPHITE ONE,,,1. Backlog Project,,Active
617654: APATIN - VEOLIA HU (1. Backlog Project),617654,APATIN - VEOLIA HU,,,1. Backlog Project,,Active
617814: RED TRAIL ENERGY (PE (1. Backlog Project),617814,RED TRAIL ENERGY (PE,,,1. Backlog Project,,Active
618524: ARCELORMITTAL NIPPON STEEL INDIA LTD(2. ITO),618524,ARCELORMITTAL NIPPON STEEL INDIA LTD,INDIA,Piping Estimation,2. ITO,ITO,Active
618550: 1Point Five (2. ITO),618550,1Point Five,NAM,RO projection preparation,2. ITO,ITO,Active
